, LightValue,time
오후 12:14:24,982,0
오후 12:28:48,981,0.001
오후 12:43:12,980,0.006
오후 12:57:36,980,0.012
오후 1:12:00,980,0.018
오후 1:26:24,979,0.025
오후 1:40:48,979,0.031
오후 1:55:12,979,0.037
오후 2:09:36,978,0.045
오후 2:24:00,978,0.051
오후 2:38:24,978,0.057
오후 2:52:48,977,0.064
오후 3:07:12,977,0.07
오후 3:21:36,977,0.076
오후 3:36:00,977,0.083
오후 3:50:24,976,0.09
오후 4:04:48,977,0.096
오후 4:19:12,976,0.102
오후 4:33:36,976,0.109
오후 4:48:00,976,0.116
오후 5:02:24,975,0.122
오후 5:16:48,975,0.13
오후 5:31:12,974,0.137
오후 5:45:36,974,0.143
오후 6:00:00,975,0.15
오후 6:14:24,975,0.157
오후 6:28:48,975,0.163
오후 6:43:12,975,0.171
오후 6:57:36,974,0.178
오후 7:12:00,972,0.184
오후 7:26:24,971,0.191
오후 7:40:48,969,0.197
오후 7:55:12,969,0.204
오후 8:09:36,970,0.211
오후 8:24:00,971,0.218
오후 8:38:24,971,0.225
오후 8:52:48,970,0.232
오후 9:07:12,968,0.238
오후 9:21:36,966,0.245
오후 9:36:00,963,0.252
오후 9:50:24,961,0.259
오후 10:04:48,961,0.266
오후 10:19:12,962,0.272
오후 10:33:36,963,0.279
오후 10:48:00,964,0.286
오후 11:02:24,963,0.292
오후 11:16:48,962,0.3
오후 11:31:12,957,0.307
오후 11:45:36,952,0.313
오전 12:00:00,949,0.32
오전 12:14:24,947,0.327
오전 12:28:48,946,0.333
오전 12:43:12,947,0.34
오전 12:57:36,950,0.348
오전 1:12:00,952,0.354
오전 1:26:24,953,0.361
오전 1:40:48,952,0.367
오전 1:55:12,949,0.374
오전 2:09:36,945,0.381
오전 2:24:00,939,0.388
오전 2:38:24,934,0.395
오전 2:52:48,931,0.402
오전 3:07:12,930,0.408
오전 3:21:36,932,0.415
오전 3:36:00,935,0.422
오전 3:50:24,939,0.429
오전 4:04:48,942,0.436
오전 4:19:12,943,0.443
오전 4:33:36,942,0.449
오전 4:48:00,938,0.456
오전 5:02:24,933,0.462
오전 5:16:48,926,0.47
오전 5:31:12,920,0.477
오전 5:45:36,916,0.483
오전 6:00:00,917,0.49
오전 6:14:24,917,0.497
오전 6:28:48,920,0.503
오전 6:43:12,925,0.51
오전 6:57:36,930,0.518
오전 7:12:00,934,0.524
오전 7:26:24,935,0.531
오전 7:40:48,933,0.537
오전 7:55:12,928,0.544
오전 8:09:36,923,0.551
오전 8:24:00,916,0.558
오전 8:38:24,911,0.565
오전 8:52:48,909,0.572
오전 9:07:12,910,0.578
오전 9:21:36,913,0.585
오전 9:36:00,918,0.592
오전 9:50:24,924,0.599
오전 10:04:48,928,0.606
오전 10:19:12,929,0.613
오전 10:33:36,929,0.619
오전 10:48:00,925,0.626
오전 11:02:24,919,0.632
오전 11:16:48,911,0.64
오전 11:31:12,905,0.647
오전 11:45:36,899,0.653
오후 12:00:00,896,0.66
오후 12:14:24,896,0.667
오후 12:28:48,898,0.673
오후 12:43:12,902,0.68
오후 12:57:36,907,0.688
오후 1:12:00,913,0.694
오후 1:26:24,919,0.701
오후 1:40:48,923,0.707
오후 1:55:12,925,0.714
오후 2:09:36,926,0.721
오후 2:24:00,924,0.728
오후 2:38:24,922,0.735
오후 2:52:48,919,0.742
오후 3:07:12,917,0.748
오후 3:21:36,917,0.755
오후 3:36:00,918,0.762
오후 3:50:24,920,0.769
오후 4:04:48,924,0.776
오후 4:19:12,928,0.783
오후 4:33:36,932,0.789
오후 4:48:00,934,0.796
오후 5:02:24,935,0.802
오후 5:16:48,935,0.809
오후 5:31:12,934,0.817
오후 5:45:36,932,0.823
오후 6:00:00,930,0.83
오후 6:14:24,930,0.837
오후 6:28:48,931,0.843
오후 6:43:12,932,0.85
오후 6:57:36,935,0.858
오후 7:12:00,937,0.864
오후 7:26:24,940,0.871
오후 7:40:48,941,0.878
오후 7:55:12,942,0.884
오후 8:09:36,941,0.891
오후 8:24:00,940,0.898
오후 8:38:24,939,0.905
오후 8:52:48,938,0.912
오후 9:07:12,938,0.918
오후 9:21:36,940,0.925
오후 9:36:00,941,0.932
오후 9:50:24,943,0.939
오후 10:04:48,946,0.946
오후 10:19:12,947,0.953
오후 10:33:36,948,0.959
오후 10:48:00,948,0.966
오후 11:02:24,949,0.972
오후 11:16:48,949,0.979
오후 11:31:12,949,0.987
오후 11:45:36,949,0.993
오전 12:00:00,949,1
오전 12:14:24,950,1.007
오전 12:28:48,952,1.014
오전 12:43:12,953,1.021
오전 12:57:36,954,1.029
오전 1:12:00,954,1.036
오전 1:26:24,955,1.043
오전 1:40:48,956,1.05
오전 1:55:12,956,1.057
오전 2:09:36,956,1.064
오전 2:24:00,956,1.072
오전 2:38:24,957,1.079
오전 2:52:48,957,1.086
오전 3:07:12,958,1.093
오전 3:21:36,959,1.1
오전 3:36:00,960,1.107
오전 3:50:24,960,1.115
오전 4:04:48,961,1.122
오전 4:19:12,962,1.129
오전 4:33:36,962,1.136
오전 4:48:00,962,1.142
오전 5:02:24,962,1.149
오전 5:16:48,963,1.157
오전 5:31:12,963,1.164
오전 5:45:36,963,1.171
오전 6:00:00,964,1.178
오전 6:14:24,964,1.185
오전 6:28:48,964,1.192
오전 6:43:12,965,1.2
오전 6:57:36,965,1.207
오전 7:12:00,965,1.214
오전 7:26:24,966,1.221
오전 7:40:48,966,1.228
오전 7:55:12,966,1.235
오전 8:09:36,967,1.243
오전 8:24:00,967,1.25
오전 8:38:24,968,1.257
오전 8:52:48,968,1.264
오전 9:07:12,968,1.271
오전 9:21:36,968,1.278
오전 9:36:00,969,1.286
오전 9:50:24,969,1.293
오전 10:04:48,969,1.3
오전 10:19:12,970,1.307
오전 10:33:36,969,1.314
오전 10:48:00,970,1.321
오전 11:02:24,971,1.329
오전 11:16:48,970,1.336
오전 11:31:12,970,1.343
오전 11:45:36,971,1.35
오후 12:00:00,971,1.357
오후 12:14:24,971,1.364
오후 12:28:48,971,1.372
오후 12:43:12,972,1.379
오후 12:57:36,972,1.386
오후 1:12:00,972,1.393
오후 1:26:24,972,1.4
오후 1:40:48,973,1.406
오후 1:55:12,973,1.414
오후 2:09:36,973,1.421
오후 2:24:00,973,1.428
오후 2:38:24,973,1.435
오후 2:52:48,973,1.442
오후 3:07:12,974,1.449
오후 3:21:36,974,1.457
오후 3:36:00,974,1.464
오후 3:50:24,974,1.471
오후 4:04:48,974,1.478
오후 4:19:12,975,1.485
오후 4:33:36,975,1.492
오후 4:48:00,974,1.5
오후 5:02:24,975,1.507
오후 5:16:48,975,1.514
오후 5:31:12,975,1.521
오후 5:45:36,975,1.528
오후 6:00:00,975,1.536
오후 6:14:24,975,1.543
오후 6:28:48,976,1.55
오후 6:43:12,976,1.557
오후 6:57:36,976,1.564
오후 7:12:00,975,1.571
오후 7:26:24,976,1.579
오후 7:40:48,976,1.586
오후 7:55:12,976,1.593
오후 8:09:36,976,1.6
오후 8:24:00,976,1.607
오후 8:38:24,976,1.614
오후 8:52:48,976,1.622
오후 9:07:12,977,1.629
오후 9:21:36,976,1.636
오후 9:36:00,977,1.643
오후 9:50:24,977,1.65
오후 10:04:48,977,1.657
오후 10:19:12,977,1.664
오후 10:33:36,977,1.671
오후 10:48:00,977,1.678
오후 11:02:24,978,1.685
오후 11:16:48,977,1.692
오후 11:31:12,978,1.699
오후 11:45:36,977,1.707
오전 12:00:00,977,1.714
오전 12:14:24,977,1.721
오전 12:28:48,977,1.728
오전 12:43:12,978,1.735
오전 12:57:36,978,1.742
오전 1:12:00,978,1.75
오전 1:26:24,978,1.757
오전 1:40:48,978,1.764
오전 1:55:12,978,1.771
오전 2:09:36,978,1.778
오전 2:24:00,978,1.785
오전 2:38:24,979,1.793
오전 2:52:48,978,1.8
오전 3:07:12,979,1.807
오전 3:21:36,978,1.814
오전 3:36:00,979,1.821
오전 3:50:24,978,1.828
오전 4:04:48,979,1.836
